70,South Cotabato,Koronadal,"Jun 18, 1966",Region XII,"13,65,286",19,"4,428.81",28,308.3,23
71,Southern Leyte,Maasin,"May 22, 1959",Region VIII,"3,99,137",62,"1,798.61",65,221.9,43
72,Sultan Kudarat,Isulan,"Nov 22, 1973",Region XII,"7,47,087",36,"5,298.34",21,141,57
73,Sulu,Jolo,"Mar 10, 1917",ARMM,"7,18,290",42,"1,600.40",66,448.8,12
74,Surigao del Norte,Surigao,"Jun 16, 1960",Region XIII,"4,42,588",59,"1,972.93",62,224.3,41
75,Surigao del Sur,Tandag,"Jun 16, 1960",Region XIII,"5,61,219",52,"4,932.70",23,113.8,67
76,Tarlac,Tarlac City,1872,Region III,"12,73,240",22,"3,053.60",47,417,15
77,Tawi-Tawi,Bongao,"Sep 11, 1973",ARMM,"3,66,550",64,"1,087.40",74,337.1,21
78,Zambales,Iba,1578,Region III,"7,55,621",35,"3,830.83",36,197.2,48
79,Zamboanga del Norte,Dipolog,"Jun 6, 1952",Region IX,"9,57,997",29,"7,301.00",9,131.2,61
80,Zamboanga del Sur,Pagadian,"Jun 6, 1952",Region IX,"17,66,814",16,"5,914.16",13,298.7,25
81,Zamboanga Sibugay,Ipil,"Feb 22, 2001",Region IX,"5,84,685",49,"3,607.75",38,162.1,54
